,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,33,,4,11,1,,11,24,5,74,5,0,1,0,11,4,0,0,0,,,,13,11,,0,,,0,,1,0,,,0,,1,2,,1,1,,11,11,0,,0,0,,,,,,11,,0,23,11,100,,16,,,,100,,0,0,,3,8,1,,2,2,0,41,2,1,2,2,4,1,11,3038,58,,100,50,30,5,,1,,,2,,3,0,,,4,0,1,0,,1,1,,6,2,2,,0,2,,,,,,21,,100,2,8,100,,9,,,,100,,0,0,,7,22,4,,9,2,0,45,1,1,3,2,13,4,26,21239,149,,100,0,64,15,,1,,,2,,7,0,,,1,0,2,0,,4,2,,10,9,9,,0,14,,,,,,49,,42,2,17,100,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,0,0,,3,8,1,,2,2,0,53,2,1,1,1,4,3,10,2601,56,,,0,23,6,,1,,,2,,3,0,,,1,,1,1,,1,1,,5,4,2,,0,7,,,,,,33,,100,2,8,200,,16,,,,100,,0,0,,3,8,1,,2,2,0,41,2,1,2,2,4,1,11,3038,58,,100,50,30,5,,1,,,2,,3,0,,,4,0,1,0,,1,1,,6,2,2,,0,2,,,,,,21,,100,2,8,100,,9,,,,100,,0,0,,7,22,4,,9,2,0,45,1,1,3,2,13,4,26,21239,149,,100,0,64,15,,1,,,2,,7,0,,,1,0,2,0,,4,2,,10,9,9,,0,14,,,,,,49,,42,2,17,100,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,1,0,,2,10,2,,2,2,0,23,2,1,2,1,6,1,20,7837,79,,,25,35,3,,0,,,2,,5,0,,,4,,1,0,,2,3,,6,2,2,,0,2,,,,,,17,,100,2,10,100,,7,,,,100,,1,20,,3,45,2,,15,2,1,23,3,1,2,2,32,2,48,195068,583,,100,68,212,20,,1,,,3,,5,1,,,4,7,1,0,,2,3,,20,16,9,,0,12,,,,,,46,,41,5,45,100,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,100,,4,2,3,,2,4,1,78,1,0,3,0,2,4,0,0,0,,,,4,2,,0,,,0,,1,0,,,0,,1,10,,3,3,,2,2,0,,0,0,,,,,,20,,0,3,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,33,,11,6,8,,3,13,5,56,9,0,4,3,5,6,7,1948,59,,0,,26,5,,2,,,0,,2,0,,,0,0,1,9,,8,5,,3,3,3,,0,14,,,,,,58,,0,5,6,100,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0,67,,4,2,2,,2,11,3,83,3,0,2,0,2,4,0,0,0,,,,4,2,,0,,,0,,1,0,,,0,,1,13,,2,2,,2,2,0,,0,0,,,,,,2,,0,6,2,100,,49,,,,5,,3,11,,17,43,12,,21,53,21,42,23,4,6,4,30,11,20,41027,317,,10,91,137,30,,3,,,2,,4,3,,,6,15,1,0,,12,10,,28,22,7,,0,14,,,,,,488,,2,76,43,90,,27,,,,29,,3,0,,22,14,23,,2,1,0,19,3,2,7,6,8,11,23,43028,300,,45,55,68,11,,5,,,4,,5,0,,,5,0,1,0,,23,14,,12,7,7,,0,23,,,,,,495,,100,1,14,350,1
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,1,,,,50,,0,75,,0,3,1,,2,3,2,57,3,0,1,5,3,0,3,130,13,,100,0,12,3,,1,,,0,,1,1,,,1,2,1,0,,1,1,,3,2,0,,0,0,,,,,,96,,100,3,3,50,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,2,,,,42,,1,0,,4,24,9,,7,0,0,33,6,0,4,4,13,4,30,45946,261,,100,0,89,16,,0,,,2,,10,0,,,2,3,1,3,,9,4,,12,10,7,,0,6,,,,,,103,,0,0,24,143,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,70,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,2,,,,100,,2,0,,4,18,7,,8,0,0,34,2,0,5,2,9,2,52,137105,422,,100,0,90,10,,0,,,4,,8,0,,,2,1,1,0,,7,6,,11,9,8,,0,10,,,,,,65,,0,0,18,113,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,2,,,,67,,1,14,,5,22,9,,7,1,1,33,4,0,4,4,13,5,35,60582,290,,100,0,97,16,,0,,,4,,8,0,,,2,3,1,1,,9,5,,12,10,7,,0,13,,,,,,89,,0,1,22,143,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,75,,0,50,,0,7,1,,2,2,1,60,2,0,1,5,5,0,4,617,35,,100,,18,5,,1,,,0,,3,0,,,0,1,1,0,,1,0,,2,2,1,,0,0,,,,,,75,,0,2,7,100,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,50,,0,0,,0,1,1,,0,0,0,71,1,0,1,5,1,0,2,16,5,,100,,5,1,,1,,,0,,1,0,,,0,0,1,0,,1,1,,0,0,0,,0,0,,,,,,94,,,0,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,65,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,50,,0,0,,0,1,1,,0,0,0,69,1,0,1,5,1,0,1,10,5,,100,,5,1,,1,,,0,,1,0,,,0,0,1,0,,1,1,,0,0,0,,0,0,,,,,,94,,,0,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,70,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,1,,,,50,,0,75,,0,3,1,,2,3,2,57,3,0,1,5,3,0,3,130,13,,100,0,12,3,,1,,,0,,1,1,,,1,2,1,0,,1,1,,3,2,0,,0,0,,,,,,96,,100,3,3,50,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,2,,,,42,,1,0,,4,24,9,,7,0,0,33,6,0,4,4,13,4,30,45946,261,,100,0,89,16,,0,,,2,,10,0,,,2,3,1,3,,9,4,,12,10,7,,0,6,,,,,,103,,0,0,24,143,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,70,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,2,,,,100,,2,0,,4,18,7,,8,0,0,34,2,0,5,2,9,2,52,137105,422,,100,0,90,10,,0,,,4,,8,0,,,2,1,1,0,,7,6,,11,9,8,,0,10,,,,,,65,,0,0,18,113,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,2,,,,67,,1,14,,5,22,9,,7,1,1,33,4,0,4,4,13,5,35,60582,290,,100,0,97,16,,0,,,4,,8,0,,,2,3,1,1,,9,5,,12,10,7,,0,13,,,,,,89,,0,1,22,143,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,75,,0,50,,0,7,1,,2,2,1,60,2,0,1,5,5,0,4,617,35,,100,,18,5,,1,,,0,,3,0,,,0,1,1,0,,1,0,,2,2,1,,0,0,,,,,,75,,0,2,7,100,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,50,,0,0,,0,1,1,,0,0,0,71,1,0,1,5,1,0,2,16,5,,100,,5,1,,1,,,0,,1,0,,,0,0,1,0,,1,1,,0,0,0,,0,0,,,,,,94,,,0,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,65,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,50,,0,0,,0,1,1,,0,0,0,69,1,0,1,5,1,0,1,10,5,,100,,5,1,,1,,,0,,1,0,,,0,0,1,0,,1,1,,0,0,0,,0,0,,,,,,94,,,0,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,69,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,70,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,70,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,1,,,,50,,0,75,,0,3,1,,2,3,2,57,3,0,1,5,3,0,3,130,13,,100,0,12,3,,1,,,0,,1,1,,,1,2,1,0,,1,1,,3,2,0,,0,0,,,,,,96,,100,3,3,50,2
,0,,,,,,0,21,,2,7,3,,7,39,11,74,12,0,2,0,7,2,0,0,0,,,,9,7,,0,,,0,,1,0,,,0,,1,14,,3,3,,7,7,1,,0,0,,,,,,28,,0,18,7,100,,18,,,,3,,1,14,,2,19,7,,13,9,8,47,19,0,5,4,15,2,14,9598,126,,0,60,73,18,,1,,,3,,4,0,,,2,1,1,5,,7,6,,16,14,13,,0,3,,,,,,133,,8,16,19,108,,0,,,,0,,0,0,,0,1,2,,0,1,0,70,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,,0,,,,0,,0,0,,0,1,2,,0,1,0,68,1,0,2,5,1,0,1,2,3,,0,,5,1,,1,,,0,,1,0,,,0,0,1,0,,2,2,,0,0,0,,0,0,,,,,,129,,,1,1,0,2
